,District,Republican,Democratic,Year,State,,,,,,,,,,,,,,,,,,,,
,23d,"136,964",0,2016,NY,,,,,,,,,,,,,,,,,,,,
,24th,"150,330",0,2016,NY,,,,,,,,,,,,,,,,,,,,
,25th,"113,840",0,2016,NY,,,,,,,,,,,,,,,,,,,,
,26th,"56,930",0,2016,NY,,,,,,,,,,,,,,,,,,,,
,27th,"175,509",0,2016,NY,,,,,,,,,,,,,,,,,,,,
,,"1,983,346",0,2016,NY,,,,,,,,,,,,,,,,,,,,
,,"1,723,927",0,2016,NY,,,,,,,,,,,,,,,,,,,,
,,"2,527,142",0,2016,NY,,,,,,,,,,,,,,,,,,,,
,1st,"101,567","240,661",2016,NC,,,,,,,,,,,,,,,,,,,,
,2d,"221,485","169,082",2016,NC,,,,,,,,,,,,,,,,,,,,
,3d,"217,531","106,170",2016,NC,,,,,,,,,,,,,,,,,,,,
,4th,"130,161","279,380",2016,NC,,,,,,,,,,,,,,,,,,,,
,5th,"207,625","147,887",2016,NC,,,,,,,,,,,,,,,,,,,,
,6th,"207,983","143,167",2016,NC,,,,,,,,,,,,,,,,,,,,
,7th,"211,801","135,905",2016,NC,,,,,,,,,,,,,,,,,,,,
,8th,"189,863","133,182",2016,NC,,,,,,,,,,,,,,,,,,,,
,9th,"193,452","139,041",2016,NC,,,,,,,,,,,,,,,,,,,,
,10th,"220,825","128,919",2016,NC,,,,,,,,,,,,,,,,,,,,
,11th,"230,405","129,103",2016,NC,,,,,,,,,,,,,,,,,,,,
,12th,"115,185","234,115",2016,NC,,,,,,,,,,,,,,,,,,,,
,13th,"199,443","156,049",2016,NC,,,,,,,,,,,,,,,,,,,,
,,"2,447,326","2,142,661",2016,NC,,,,,,,,,,,,,,,,,,,,
,,"2,395,376","2,128,165",2016,NC,,,,,,,,,,,,,,,,,,,,
,,"2,362,631","2,189,316",2016,NC,,,,,,,,,,,,,,,,,,,,
,1,"233,980",0,2016,ND,,,,,,,,,,,,,,,,,,,,
,,"268,788",0,2016,ND,,,,,,,,,,,,,,,,,,,,
,,"216,794",364,2016,ND,,,,,,,,,,,,,,,,,,,,
,1st,"210,014","144,644",2016,OH,,,,,,,,,,,,,,,,,,,,
,2d,"221,193","111,694",2016,OH,,,,,,,,,,,,,,,,,,,,
,3d,"91,560","199,791",2016,OH,,,,,,,,,,,,,,,,,,,,
,4th,"210,227","98,981",2016,OH,,,,,,,,,,,,,,,,,,,,
,5th,"244,599","100,392",2016,OH,,,,,,,,,,,,,,,,,,,,
,6th,"213,975","88,780",2016,OH,,,,,,,,,,,,,,,,,,,,
,7th,"198,221","89,638",2016,OH,,,,,,,,,,,,,,,,,,,,
,8th,"223,833","87,794",2016,OH,,,,,,,,,,,,,,,,,,,,
,9th,"88,427","193,966",2016,OH,,,,,,,,,,,,,,,,,,,,
,10th,"215,724","109,981",2016,OH,,,,,,,,,,,,,,,,,,,,
,11th,"59,769","242,917",2016,OH,,,,,,,,,,,,,,,,,,,,
,12th,"251,266","112,638",2016,OH,,,,,,,,,,,,,,,,,,,,
,13th,"99,377","208,610",2016,OH,,,,,,,,,,,,,,,,,,,,
,14th,0,"219,191",2016,OH,,,,,,,,,,,,,,,,,,,,
,15th,0,"222,847",2016,OH,,,,,,,,,,,,,,,,,,,,
,16th,0,"225,794",2016,OH,,,,,,,,,,,,,,,,,,,,
,,"2,996,017","2,154,523",2016,OH,,,,,,,,,,,,,,,,,,,,
,,"3,118,567","1,996,908",2016,OH,,,,,,,,,,,,,,,,,,,,
,,"2,841,005","2,394,164",2016,OH,,,,,,,,,,,,,,,,,,,,
,1st,1,0,2016,OK,,,,,,,,,,,,,,,,,,,,
,2d,"189,839","62,387",2016,OK,,,,,,,,,,,,,,,,,,,,
,3d,"227,525","63,090",2016,OK,,,,,,,,,,,,,,,,,,,,
,4th,"204,143","76,472",2016,OK,,,,,,,,,,,,,,,,,,,,
,5th,"160,184","103,273",2016,OK,,,,,,,,,,,,,,,,,,,,
,,"781,691","305,222",2016,OK,,,,,,,,,,,,,,,,,,,,
,,"980,892","355,911",2016,OK,,,,,,,,,,,,,,,,,,,,
,,"949,136","420,375",2016,OK,,,,,,,,,,,,,,,,,,,,
,1st,"139,756","225,391",2016,OR,,,,,,,,,,,,,,,,,,,,
,2d,"272,952","106,640",2016,OR,,,,,,,,,,,,,,,,,,,,
,3d,0,"274,687",2016,OR,,,,,,,,,,,,,,,,,,,,
,4th,"157,743","220,628",2016,OR,,,,,,,,,,,,,,,,,,,,
,5th,"160,443","199,505",2016,OR,,,,,,,,,,,,,,,,,,,,
,,"730,894","1,026,851",2016,OR,,,,,,,,,,,,,,,,,,,,
,,"651,106","1,105,119",2016,OR,,,,,,,,,,,,,,,,,,,,
,,"782,403","1,002,106",2016,OR,,,,,,,,,,,,,,,,,,,,
,1st,"53,219","245,791",2016,PA,,,,,,,,,,,,,,,,,,,,
,2d,"35,131","322,514",2016,PA,,,,,,,,,,,,,,,,,,,,
,3d,"244,893",0,2016,PA,,,,,,,,,,,,,,,,,,,,
,4th,"220,628","113,372",2016,PA,,,,,,,,,,,,,,,,,,,,
,5th,"206,761","101,082",2016,PA,,,,,,,,,,,,,,,,,,,,
,6th,"207,469","155,000",2016,PA,,,,,,,,,,,,,,,,,,,,
,7th,"225,678","153,824",2016,PA,,,,,,,,,,,,,,,,,,,,
,8th,"207,263","173,555",2016,PA,,,,,,,,,,,,,,,,,,,,
,9th,"186,580","107,985",2016,PA,,,,,,,,,,,,,,,,,,,,
,10th,"211,282","89,823",2016,PA,,,,,,,,,,,,,,,,,,,,
,11th,"199,421","113,800",2016,PA,,,,,,,,,,,,,,,,,,,,
,12th,"221,851","137,353",2016,PA,,,,,,,,,,,,,,,,,,,,
,13th,0,"239,316",2016,PA,,,,,,,,,,,,,,,,,,,,
,14th,"87,999","255,293",2016,PA,,,,,,,,,,,,,,,,,,,,
,15th,"190,618","124,129",2016,PA,,,,,,,,,,,,,,,,,,,,
,16th,"168,669","134,586",2016,PA,,,,,,,,,,,,,,,,,,,,
,17th,"135,430","157,734",2016,PA,,,,,,,,,,,,,,,,,,,,
,18th,"293,684",0,2016,PA,,,,,,,,,,,,,,,,,,,,
,,"3,096,576","2,625,157",2016,PA,,,,,,,,,,,,,,,,,,,,
,,"2,951,702","2,865,012",2016,PA,,,,,,,,,,,,,,,,,,,,
,,"2,970,733","2,926,441",2016,RI,,,,,,,,,,,,,,,,,,,,
,1st,"71,023","130,534",2016,RI,,,,,,,,,,,,,,,,,,,,
,2d,"70,301","133,108",2016,RI,,,,,,,,,,,,,,,,,,,,
,,"141,324","263,642",2016,RI,,,,,,,,,,,,,,,,,,,,
,,"180,543","252,525",2016,RI,,,,,,,,,,,,,,,,,,,,
,1st,"190,410","110,539",2016,SC,,,,,,,,,,,,,,,,,,,,
,2d,"183,746","105,306",2016,SC,,,,,,,,,,,,,,,,,,,,
,3d,"196,325","72,933",2016,SC,,,,,,,,,,,,,,,,,,,,
,4th,"198,648","91,676",2016,SC,,,,,,,,,,,,,,,,,,,,
,5th,"161,669","105,772",2016,SC,,,,,,,,,,,,,,,,,,,,
,6th,"70,099","177,947",2016,SC,,,,,,,,,,,,,,,,,,,,
,7th,"176,468","103,454",2016,SC,,,,,,,,,,,,,,,,,,,,
,,"1,177,365","767,627",2016,SC,,,,,,,,,,,,,,,,,,,,
,,"1,241,609","704,540",2016,SC,,,,,,,,,,,,,,,,,,,,
,,"1,155,389","855,373",2016,SC,,,,,,,,,,,,,,,,,,,,
,1,"237,163","132,810",2016,SD,,,,,,,,,,,,,,,,,,,,
,,"265,516","104,140",2016,SD,,,,,,,,,,,,,,,,,,,,
,,"227,721","117,458",2016,SD,,,,,,,,,,,,,,,,,,,,
,1st,"198,293","39,024",2016,TN,,,,,,,,,,,,,,,,,,,,
,2d,"212,455","68,401",2016,TN,,,,,,,,,,,,,,,,,,,,
,3d,"176,613","76,727",2016,TN,,,,,,,,,,,,,,,,,,,,
,4th,"165,796","89,141",2016,TN,,,,,,,,,,,,,,,,,,,,
,5th,"102,433","171,111",2016,TN,,,,,,,,,,,,,,,,,,,,
,6th,"202,234","61,995",2016,TN,,,,,,,,,,,,,,,,,,,,
,7th,"200,407","65,226",2016,TN,,,,,,,,,,,,,,,,,,,,
,8th,"194,386","70,925",2016,TN,,,,,,,,,,,,,,,,,,,,
,9th,"41,123","171,631",2016,TN,,,,,,,,,,,,,,,,,,,,
,,"1,493,740","814,181",2016,TN,,,,,,,,,,,,,,,,,,,,
,,"1,522,925","870,695",2016,TN,,,,,,,,,,,,,,,,,,,,
,1st,"192,434","62,847",2016,TX,,,,,,,,,,,,,,,,,,,,
,2d,"168,692","100,231",2016,TX,,,,,,,,,,,,,,,,,,,,
,3d,"193,684","109,420",2016,TX,,,,,,,,,,,,,,,,,,,,
,4th,"216,643",0,2016,TX,,,,,,,,,,,,,,,,,,,,
,5th,"155,469",0,2016,TX,,,,,,,,,,,,,,,,,,,,
,6th,"159,444","106,667",2016,TX,,,,,,,,,,,,,,,,,,,,
,7th,"143,542","111,991",2016,TX,,,,,,,,,,,,,,,,,,,,
,8th,"236,379",0,2016,TX,,,,,,,,,,,,,,,,,,,,
,9th,"36,491","152,032",2016,TX,,,,,,,,,,,,,,,,,,,,
,10th,"179,221","120,170",2016,TX,,,,,,,,,,,,,,,,,,,,
,11th,"201,871",0,2016,TX,,,,,,,,,,,,,,,,,,,,
,12th,"196,482","76,029",2016,TX,,,,,,,,,,,,,,,,,,,,
,13th,"199,050",0,2016,TX,,,,,,,,,,,,,,,,,,,,
,14th,"160,631","99,054",2016,TX,,,,,,,,,,,,,,,,,,,,
,15th,"66,877","101,712",2016,TX,,,,,,,,,,,,,,,,,,,,
,16th,0,"150,228",2016,TX,,,,,,,,,,,,,,,,,,,,
,17th,"149,417","86,603",2016,TX,,,,,,,,,,,,,,,,,,,,
,18th,"48,306","150,157",2016,TX,,,,,,,,,,,,,,,,,,,,
,19th,"176,314",0,2016,TX,,,,,,,,,,,,,,,,,,,,
,20th,0,"149,640",2016,TX,,,,,,,,,,,,,,,,,,,,
,21st,"202,967","129,765",2016,TX,,,,,,,,,,,,,,,,,,,,
,22d,"181,864","123,679",2016,TX,,,,,,,,,,,,,,,,,,,,
,23d,"110,577","107,526",2016,TX,,,,,,,,,,,,,,,,,,,,
,24th,"154,845","108,389",2016,TX,,,,,,,,,,,,,,,,,,,,
,25th,"180,988","117,073",2016,TX,,,,,,,,,,,,,,,,,,,,
,26th,"211,730","94,507",2016,TX,,,,,,,,,,,,,,,,,,,,
,27th,"142,251","88,329",2016,TX,,,,,,,,,,,,,,,,,,,,
,28th,"57,740","122,086",2016,TX,,,,,,,,,,,,,,,,,,,,
,29th,"31,646","95,649",2016,TX,,,,,,,,,,,,,,,,,,,,
,30th,"41,518","170,502",2016,TX,,,,,,,,,,,,,,,,,,,,
,31st,"166,060","103,852",2016,TX,,,,,,,,,,,,,,,,,,,,
,32d,"162,868",0,2016,TX,,,,,,,,,,,,,,,,,,,,
,33d,"33,222","93,147",2016,TX,,,,,,,,,,,,,,,,,,,,
,34th,"62,323","104,638",2016,TX,,,,,,,,,,,,,,,,,,,,
,35th,"62,384","124,612",2016,TX,,,,,,,,,,,,,,,,,,,,
,36th,"193,675",0,2016,TX,,,,,,,,,,,,,,,,,,,,
,,"4,877,605","3,160,535",2016,TX,,,,,,,,,,,,,,,,,,,,
,,"4,685,047","3,877,868",2016,TX,,,,,,,,,,,,,,,,,,,,
,1st,"182,925","73,380",2016,UT,,,,,,,,,,,,,,,,,,,,
,2d,"170,524","93,778",2016,UT,,,,,,,,,,,,,,,,,,,,
,3d,"209,589","75,716",2016,UT,,,,,,,,,,,,,,,,,,,,
,4th,"147,597","113,413",2016,UT,,,,,,,,,,,,,,,,,,,,
,,"710,635","356,287",2016,UT,,,,,,,,,,,,,,,,,,,,
,,"760,220","301,858",2016,UT,,,,,,,,,,,,,,,,,,,,
,,"515,211","310,674",2016,UT,,,,,,,,,,,,,,,,,,,,
,1,0,"264,414",2016,VT,,,,,,,,,,,,,,,,,,,,
,,"103,637","192,243",2016,VT,,,,,,,,,,,,,,,,,,,,
,,"95,369","178,573",2016,VT,,,,,,,,,,,,,,,,,,,,
,1st,"230,213","140,785",2016,VA,,,,,,,,,,,,,,,,,,,,
,2d,"190,475","119,440",2016,VA,,,,,,,,,,,,,,,,,,,,
,3d,"103,289","208,337",2016,VA,,,,,,,,,,,,,,,,,,,,
,4th,"145,731","200,136",2016,VA,,,,,,,,,,,,,,,,,,,,
,5th,"207,758","148,339",2016,VA,,,,,,,,,,,,,,,,,,,,
,6th,"225,471","112,170",2016,VA,,,,,,,,,,,,,,,,,,,,
,7th,"218,057","160,159",2016,VA,,,,,,,,,,,,,,,,,,,,
,8th,"98,387","246,653",2016,VA,,,,,,,,,,,,,,,,,,,,
,9th,"212,838","87,877",2016,VA,,,,,,,,,,,,,,,,,,,,
,10th,"210,791","187,712",2016,VA,,,,,,,,,,,,,,,,,,,,
,11th,0,"247,818",2016,VA,,,,,,,,,,,,,,,,,,,,
,,"1,843,010","1,859,426",2016,VA,,,,,,,,,,,,,,,,,,,,
,,"1,769,443","1,981,473",2016,VA,,,,,,,,,,,,,,,,,,,,
,1st,"155,779","193,619",2016,WA,,,,,,,,,,,,,,,,,,,,
,2d,"117,094","208,314",2016,WA,,,,,,,,,,,,,,,,,,,,
,3d,"193,457","119,820",2016,WA,,,,,,,,,,,,,,,,,,,,
,4th,"229,919",0,2016,WA,,,,,,,,,,,,,,,,,,,,
,5th,"192,959","130,575",2016,WA,,,,,,,,,,,,,,,,,,,,
,6th,"126,116","201,718",2016,WA,,,,,,,,,,,,,,,,,,,,
,7th,0,"378,754",2016,WA,,,,,,,,,,,,,,,,,,,,
,8th,"193,145","127,720",2016,WA,,,,,,,,,,,,,,,,,,,,
,9th,"76,317","205,165",2016,WA,,,,,,,,,,,,,,,,,,,,
,10th,"120,104","170,460",2016,WA,,,,,,,,,,,,,,,,,,,,
,,"1,404,890","1,736,145",2016,WA,,,,,,,,,,,,,,,,,,,,
,,"1,329,338","1,913,979",2016,WA,,,,,,,,,,,,,,,,,,,,
,,"1,221,747","1,742,718",2016,WA,,,,,,,,,,,,,,,,,,,,
,1st,"163,469","73,534",2016,WV,,,,,,,,,,,,,,,,,,,,
,2d,"140,807","101,207",2016,WV,,,,,,,,,,,,,,,,,,,,
,3d,"140,741","49,708",2016,WV,,,,,,,,,,,,,,,,,,,,
,,"445,017","224,449",2016,WV,,,,,,,,,,,,,,,,,,,,
,,"489,371","188,794",2016,WV,,,,,,,,,,,,,,,,,,,,
,1st,"230,072","107,003",2016,WI,,,,,,,,,,,,,,,,,,,,
,2d,"124,044","273,537",2016,WI,,,,,,,,,,,,,,,,,,,,
,3d,0,"257,401",2016,WI,,,,,,,,,,,,,,,,,,,,
,4th,0,"220,181",2016,WI,,,,,,,,,,,,,,,,,,,,
,5th,"260,706","114,477",2016,WI,,,,,,,,,,,,,,,,,,,,
,6th,"204,147","133,072",2016,WI,,,,,,,,,,,,,,,,,,,,
,7th,"223,418","138,643",2016,WI,,,,,,,,,,,,,,,,,,,,
,8th,"227,892","135,682",2016,WI,,,,,,,,,,,,,,,,,,,,
,,"1,270,279","1,379,996",2016,WI,,,,,,,,,,,,,,,,,,,,
,,"1,479,471","1,380,335",2016,WI,,,,,,,,,,,,,,,,,,,,
,,"1,382,536",0,2016,WI,,,,,,,,,,,,,,,,,,,,
,1st,"156,176","75,466",2016,WY,,,,,,,,,,,,,,,,,,,,
,,"174,419","55,973",2016,WY,,,,,,,,,,,,,,,,,,,,
