,District,Republican,Democratic,Year,State,,,,,,,,,,,,,,,,,,,,
,50th,"179,937","103,646",2016,CA,,,,,,,,,,,,,,,,,,,,
,51st,"54,362","145,162",2016,CA,,,,,,,,,,,,,,,,,,,,
,52d,"139,403","181,253",2016,CA,,,,,,,,,,,,,,,,,,,,
,53d,"97,968","198,988",2016,CA,,,,,,,,,,,,,,,,,,,,
,,"4,682,033","8,624,432",2016,CA,,,,,,,,,,,,,,,,,,,,
,,0,"12,244,170",2016,CA,,,,,,,,,,,,,,,,,,,,
,,"4,483,810","8,753,788",2016,CA,,,,,,,,,,,,,,,,,,,,
,1st,"105,030","257,254",2016,CO,,,,,,,,,,,,,,,,,,,,
,2d,"170,001","260,175",2016,CO,,,,,,,,,,,,,,,,,,,,
,3d,"204,220","150,914",2016,CO,,,,,,,,,,,,,,,,,,,,
,4th,"248,230","123,642",2016,CO,,,,,,,,,,,,,,,,,,,,
,5th,"225,445","111,676",2016,CO,,,,,,,,,,,,,,,,,,,,
,6th,"191,626","160,372",2016,CO,,,,,,,,,,,,,,,,,,,,
,7th,"144,066","199,758",2016,CO,,,,,,,,,,,,,,,,,,,,
,,"1,288,618","1,263,791",2016,CO,,,,,,,,,,,,,,,,,,,,
,,"1,215,318","1,370,710",2016,CO,,,,,,,,,,,,,,,,,,,,
,,"1,202,484","1,338,870",2016,CO,,,,,,,,,,,,,,,,,,,,
,1st,"105,674","187,021",2016,CT,,,,,,,,,,,,,,,,,,,,
,2d,"111,149","186,210",2016,CT,,,,,,,,,,,,,,,,,,,,
,3d,"95,786","192,274",2016,CT,,,,,,,,,,,,,,,,,,,,
,4th,"120,653","187,811",2016,CT,,,,,,,,,,,,,,,,,,,,
,5th,"124,900","163,499",2016,CT,,,,,,,,,,,,,,,,,,,,
,,"558,162","916,815",2016,CT,,,,,,,,,,,,,,,,,,,,
,,"552,621","920,766",2016,CT,,,,,,,,,,,,,,,,,,,,
,,"673,215","897,572",2016,CT,,,,,,,,,,,,,,,,,,,,
,1,"172,301","233,554",2016,DE,,,,,,,,,,,,,,,,,,,,
,,"185,127","235,603",2016,DE,,,,,,,,,,,,,,,,,,,,
,1st,"255,107","114,079",2016,FL,,,,,,,,,,,,,,,,,,,,
,2d,"231,163","102,801",2016,FL,,,,,,,,,,,,,,,,,,,,
,3d,"193,843","136,338",2016,FL,,,,,,,,,,,,,,,,,,,,
,4th,"287,509","113,088",2016,FL,,,,,,,,,,,,,,,,,,,,
,5th,"108,325","194,549",2016,FL,,,,,,,,,,,,,,,,,,,,
,6th,"213,519","151,051",2016,FL,,,,,,,,,,,,,,,,,,,,
,7th,"171,583","182,039",2016,FL,,,,,,,,,,,,,,,,,,,,
,8th,"246,483","127,127",2016,FL,,,,,,,,,,,,,,,,,,,,
,9th,"144,450","195,311",2016,FL,,,,,,,,,,,,,,,,,,,,
,10th,"107,498","198,491",2016,FL,,,,,,,,,,,,,,,,,,,,
,11th,"258,016","124,713",2016,FL,,,,,,,,,,,,,,,,,,,,
,12th,"253,559","116,110",2016,FL,,,,,,,,,,,,,,,,,,,,
,13th,"171,149","184,693",2016,FL,,,,,,,,,,,,,,,,,,,,
,14th,"121,088","195,789",2016,FL,,,,,,,,,,,,,,,,,,,,
,15th,"182,999","135,475",2016,FL,,,,,,,,,,,,,,,,,,,,
,16th,"230,654","155,262",2016,FL,,,,,,,,,,,,,,,,,,,,
,17th,"209,348","115,974",2016,FL,,,,,,,,,,,,,,,,,,,,
,18th,"201,488","161,918",2016,FL,,,,,,,,,,,,,,,,,,,,
,19th,"239,225","123,812",2016,FL,,,,,,,,,,,,,,,,,,,,
,20th,"54,646","222,914",2016,FL,,,,,,,,,,,,,,,,,,,,
,21st,"118,038","210,606",2016,FL,,,,,,,,,,,,,,,,,,,,
,22d,"138,737","199,113",2016,FL,,,,,,,,,,,,,,,,,,,,
,23d,"130,818","183,225",2016,FL,,,,,,,,,,,,,,,,,,,,
,24th,0,1,2016,FL,,,,,,,,,,,,,,,,,,,,
,25th,"157,921","95,319",2016,FL,,,,,,,,,,,,,,,,,,,,
,26th,"148,547","115,493",2016,FL,,,,,,,,,,,,,,,,,,,,
,27th,"157,917","129,760",2016,FL,,,,,,,,,,,,,,,,,,,,
,,"4,733,630","3,985,050",2016,FL,,,,,,,,,,,,,,,,,,,,
,,"4,835,191","4,122,088",2016,FL,,,,,,,,,,,,,,,,,,,,
,,"4,617,886","4,504,975",2016,FL,,,,,,,,,,,,,,,,,,,,
,1st,"210,243",0,2016,FL,,,,,,,,,,,,,,,,,,,,
,2d,"94,056","148,543",2016,FL,,,,,,,,,,,,,,,,,,,,
,3d,"207,218","95,969",2016,FL,,,,,,,,,,,,,,,,,,,,
,4th,"70,593","220,146",2016,GA,,,,,,,,,,,,,,,,,,,,
,5th,"46,768","253,781",2016,GA,,,,,,,,,,,,,,,,,,,,
,6th,"201,088","124,917",2016,GA,,,,,,,,,,,,,,,,,,,,
,7th,"174,081","114,220",2016,GA,,,,,,,,,,,,,,,,,,,,
,8th,"173,983","83,225",2016,GA,,,,,,,,,,,,,,,,,,,,
,9th,"256,535",0,2016,GA,,,,,,,,,,,,,,,,,,,,
,10th,"243,725",0,2016,GA,,,,,,,,,,,,,,,,,,,,
,11th,"217,935","105,383",2016,GA,,,,,,,,,,,,,,,,,,,,
,12th,"159,492","99,420",2016,GA,,,,,,,,,,,,,,,,,,,,
,13th,0,"252,833",2016,GA,,,,,,,,,,,,,,,,,,,,
,14th,"216,743",0,2016,GA,,,,,,,,,,,,,,,,,,,,
,,"2,272,460","1,498,437",2016,GA,,,,,,,,,,,,,,,,,,,,
,,"2,135,806","1,599,726",2016,GA,,,,,,,,,,,,,,,,,,,,
,,"2,089,104","1,877,963",2016,GA,,,,,,,,,,,,,,,,,,,,
,1st,"45,958","145,417",2016,HI,,,,,,,,,,,,,,,,,,,,
,2nd,"39,668","170,848",2016,HI,,,,,,,,,,,,,,,,,,,,
,,"85,626","316,265",2016,HI,,,,,,,,,,,,,,,,,,,,
,,"92,653","306,604",2016,HI,,,,,,,,,,,,,,,,,,,,
,,"128,847","266,891",2016,HI,,,,,,,,,,,,,,,,,,,,
,1st,"242,252","113,052",2016,ID,,,,,,,,,,,,,,,,,,,,
,2d,"205,292","95,940",2016,ID,,,,,,,,,,,,,,,,,,,,
,,"447,544","208,992",2016,ID,,,,,,,,,,,,,,,,,,,,
,,"449,017","188,249",2016,ID,,,,,,,,,,,,,,,,,,,,
,,"409,055","189,765",2016,ID,,,,,,,,,,,,,,,,,,,,
,1st,"81,817","234,037",2016,IL,,,,,,,,,,,,,,,,,,,,
,2d,"59,471","235,051",2016,IL,,,,,,,,,,,,,,,,,,,,
,3d,0,"225,320",2016,IL,,,,,,,,,,,,,,,,,,,,
,4th,0,"171,297",2016,IL,,,,,,,,,,,,,,,,,,,,
,5th,"86,222","212,842",2016,IL,,,,,,,,,,,,,,,,,,,,
,6th,"208,555","143,591",2016,IL,,,,,,,,,,,,,,,,,,,,
,7th,"46,882","250,584",2016,IL,,,,,,,,,,,,,,,,,,,,
,8th,"103,617","144,954",2016,IL,,,,,,,,,,,,,,,,,,,,
,9th,"109,550","217,306",2016,IL,,,,,,,,,,,,,,,,,,,,
,10th,"135,535","150,435",2016,IL,,,,,,,,,,,,,,,,,,,,
,11th,"108,995","166,578",2016,IL,,,,,,,,,,,,,,,,,,,,
,12th,"169,976","124,246",2016,IL,,,,,,,,,,,,,,,,,,,,
,13th,"187,583","126,811",2016,IL,,,,,,,,,,,,,,,,,,,,
,14th,"200,508","137,589",2016,IL,,,,,,,,,,,,,,,,,,,,
,15th,"274,554",0,2016,IL,,,,,,,,,,,,,,,,,,,,
,16th,"259,722",0,2016,IL,,,,,,,,,,,,,,,,,,,,
,17th,"113,943","173,125",2016,IL,,,,,,,,,,,,,,,,,,,,
,18th,"250,506","96,770",2016,IL,,,,,,,,,,,,,,,,,,,,
,,"2,397,436","2,810,536",2016,IL,,,,,,,,,,,,,,,,,,,,
,,"2,184,692","3,012,940",2016,IL,,,,,,,,,,,,,,,,,,,,
,,"2,146,015","3,090,729",2016,IL,,,,,,,,,,,,,,,,,,,,
,1st,0,"207,515",2016,IN,,,,,,,,,,,,,,,,,,,,
,2d,"164,355","102,401",2016,IN,,,,,,,,,,,,,,,,,,,,
,3d,"201,396","66,023",2016,IN,,,,,,,,,,,,,,,,,,,,
,4th,"193,412","91,256",2016,IN,,,,,,,,,,,,,,,,,,,,
,5th,"221,957","123,849",2016,IN,,,,,,,,,,,,,,,,,,,,
,6th,"204,920","79,135",2016,IN,,,,,,,,,,,,,,,,,,,,
,7th,"94,456","158,739",2016,IN,,,,,,,,,,,,,,,,,,,,
,8th,"187,702","93,356",2016,IN,,,,,,,,,,,,,,,,,,,,
,9th,"174,791","130,627",2016,IN,,,,,,,,,,,,,,,,,,,,
,,"1,442,989","1,052,901",2016,IN,,,,,,,,,,,,,,,,,,,,
,,"1,423,991","1,158,947",2016,IN,,,,,,,,,,,,,,,,,,,,
,,"1,557,286","1,033,126",2016,IN,,,,,,,,,,,,,,,,,,,,
,1st,"206,903","177,403",2016,IA,,,,,,,,,,,,,,,,,,,,
,2d,"170,933","198,571",2016,IA,,,,,,,,,,,,,,,,,,,,
,3d,"208,598","155,002",2016,IA,,,,,,,,,,,,,,,,,,,,
,4th,"226,719","142,993",2016,IA,,,,,,,,,,,,,,,,,,,,
,,"813,153","673,969",2016,IA,,,,,,,,,,,,,,,,,,,,
,,"926,007","549,460",2016,IA,,,,,,,,,,,,,,,,,,,,
,,"800,983","653,669",2016,IA,,,,,,,,,,,,,,,,,,,,
,1st,"169,992",0,2016,KS,,,,,,,,,,,,,,,,,,,,
,2d,"181,228","96,840",2016,KS,,,,,,,,,,,,,,,,,,,,
,3d,"176,022","139,300",2016,KS,,,,,,,,,,,,,,,,,,,,
,4th,"166,998","81,495",2016,KS,,,,,,,,,,,,,,,,,,,,
,,"694,240","317,635",2016,KS,,,,,,,,,,,,,,,,,,,,
,,"732,376","379,740",2016,KS,,,,,,,,,,,,,,,,,,,,
,,"671,018","427,005",2016,KS,,,,,,,,,,,,,,,,,,,,
,1st,"216,959","81,710",2016,KY,,,,,,,,,,,,,,,,,,,,
,2d,"251,825",0,2016,KY,,,,,,,,,,,,,,,,,,,,
,3d,"122,093","212,401",2016,KY,,,,,,,,,,,,,,,,,,,,
