,District,Democratic,Republican,Year,State,,,,,,,,,,,,,,,,,,,,,
,48th,"193,362","201,738",2020,CA,,,,,,,,,,,,,,,,,,,,,
,49th,"205,349","181,157",2020,CA,,,,,,,,,,,,,,,,,,,,,
,50th,"166,869","195,521",2020,CA,,,,,,,,,,,,,,,,,,,,,
,51st,"165,596","76,841",2020,CA,,,,,,,,,,,,,,,,,,,,,
,52d,"244,145","152,350",2020,CA,,,,,,,,,,,,,,,,,,,,,
,53d,"334,858",0,2020,CA,,,,,,,,,,,,,,,,,,,,,
,,"11,084,234","5,640,667",2020,CA,,,,,,,,,,,,,,,,,,,,,
,,"11,110,250","6,006,429",2020,CA,,,,,,,,,,,,,,,,,,,,,
,1st,"331,621","105,955",2020,CO,,,,,,,,,,,,,,,,,,,,,
,2d,"316,925","182,547",2020,CO,,,,,,,,,,,,,,,,,,,,,
,3d,"194,122","220,634",2020,CO,,,,,,,,,,,,,,,,,,,,,
,4th,"173,945","285,606",2020,CO,,,,,,,,,,,,,,,,,,,,,
,5th,"161,600","249,013",2020,CO,,,,,,,,,,,,,,,,,,,,,
,6th,"250,314","175,192",2020,CO,,,,,,,,,,,,,,,,,,,,,
,7th,"250,525","159,301",2020,CO,,,,,,,,,,,,,,,,,,,,,
,,"1,679,052","1,378,248",2020,CO,,,,,,,,,,,,,,,,,,,,,
,,"1,731,114","1,429,492",2020,CO,,,,,,,,,,,,,,,,,,,,,
,,"1,804,352","1,364,607",2020,CO,,,,,,,,,,,,,,,,,,,,,
,1st,"213,001","122,111",2020,CT,,,,,,,,,,,,,,,,,,,,,
,2d,"207,303","140,356",2020,CT,,,,,,,,,,,,,,,,,,,,,
,3d,"194,259","131,568",2020,CT,,,,,,,,,,,,,,,,,,,,,
,4th,"224,432","130,627",2020,CT,,,,,,,,,,,,,,,,,,,,,
,5th,"183,797","151,988",2020,CT,,,,,,,,,,,,,,,,,,,,,
,,"1,022,792","676,650",2020,CT,,,,,,,,,,,,,,,,,,,,,
,,"1,080,831","714,717",2020,CT,,,,,,,,,,,,,,,,,,,,,
,1,"281,382","196,392",2020,DE,,,,,,,,,,,,,,,,,,,,,
,,"291,804","186,054",2020,DE,,,,,,,,,,,,,,,,,,,,,
,,"296,268","200,603",2020,DE,,,,,,,,,,,,,,,,,,,,,
,1st,"149,172","283,352",2020,FL,,,,,,,,,,,,,,,,,,,,,
,2d,0,"305,337",2020,FL,,,,,,,,,,,,,,,,,,,,,
,3d,"167,326","223,075",2020,FL,,,,,,,,,,,,,,,,,,,,,
,4th,"196,423","308,497",2020,FL,,,,,,,,,,,,,,,,,,,,,
,5th,"219,463","117,510",2020,FL,,,,,,,,,,,,,,,,,,,,,
,6th,"172,305","265,393",2020,FL,,,,,,,,,,,,,,,,,,,,,
,7th,"224,946","175,750",2020,FL,,,,,,,,,,,,,,,,,,,,,
,8th,"177,695","282,093",2020,FL,,,,,,,,,,,,,,,,,,,,,
,9th,"240,724","188,889",2020,FL,,,,,,,,,,,,,,,,,,,,,
,10th,"239,434","136,889",2020,FL,,,,,,,,,,,,,,,,,,,,,
,11th,"158,094","316,979",2020,FL,,,,,,,,,,,,,,,,,,,,,
,12th,"168,194","284,941",2020,FL,,,,,,,,,,,,,,,,,,,,,
,13th,"215,405","190,713",2020,FL,,,,,,,,,,,,,,,,,,,,,
,14th,"224,240","147,896",2020,FL,,,,,,,,,,,,,,,,,,,,,
,15th,"174,297","216,374",2020,FL,,,,,,,,,,,,,,,,,,,,,
,16th,"215,683","269,001",2020,FL,,,,,,,,,,,,,,,,,,,,,
,17th,"140,487","266,514",2020,FL,,,,,,,,,,,,,,,,,,,,,
,18th,"186,674","253,286",2020,FL,,,,,,,,,,,,,,,,,,,,,
,19th,"172,146","272,440",2020,FL,,,,,,,,,,,,,,,,,,,,,
,20th,"253,661","68,748",2020,FL,,,,,,,,,,,,,,,,,,,,,
,21st,"237,925","157,612",2020,FL,,,,,,,,,,,,,,,,,,,,,
,22d,"235,764","166,553",2020,FL,,,,,,,,,,,,,,,,,,,,,
,23d,"221,239","158,874",2020,FL,,,,,,,,,,,,,,,,,,,,,
