,district,Republican,Democratic,year,state
10,1st district ...................................,179819,79363,2010,WI
11,2d district ....................................,118099,191164,2010,WI
12,3d district ....................................,116838,126380,2010,WI
13,4th district ..................................,61543,143559,2010,WI
14,5th district ..................................,229642,90634,2010,WI
15,6th district ..................................,183271,75926,2010,WI
16,7th district ..................................,132551,113018,2010,WI
17,8th district ..................................,143998,118646,2010,WI
