,district,Republican,Democratic,year,state
0,1,65558,99387,2010,IN
1,2,88803,91341,2010,IN
2,3,116140,61267,2010,IN
3,4,138732,53167,2010,IN
4,5,146899,60024,2010,IN
5,6,126027,56647,2010,IN
6,7,55213,86647,2010,IN
7,8,117259,76265,2010,IN
8,9,118040,95353,2010,IN
