,district,Republican,Democratic,year,state
0,1,155118,120400,2010,MD
1,2,69523,134133,2010,MD
2,3,86947,147448,2010,MD
3,4,31467,160228,2010,MD
4,5,83575,155110,2010,MD
5,6,148820,80455,2010,MD
6,7,46375,152669,2010,MD
7,8,52421,153613,2010,MD
