,district,Republican,Democratic,year,state
0,1st district,84076,130538,2010,CT
1,2nd district,95671,140888,2010,CT
2,3rd district,74107,134544,2010,CT
3,4th district,102030,110746,2010,CT
4,5th district,102092,118231,2010,CT
