,district,Republican,Democratic,year,state
0,1,120523,94824,2010,MI
1,2,138864,72118,2010,MI
2,3,133714,83953,2010,MI
3,4,148531,68458,2010,MI
4,5,89680,107285,2010,MI
5,6,123142,66729,2010,MI
6,7,113185,102402,2010,MI
7,8,156931,84069,2010,MI
8,9,119325,125730,2010,MI
9,10,168364,58530,2010,MI
10,11,141224,91710,2010,MI
11,12,71372,124671,2010,MI
12,13,23462,100885,2010,MI
13,14,29902,115511,2010,MI
14,15,83488,118336,2010,MI
