,district,Republican,Democratic,year,state
2,1st district ......................................,152755,67008,2010,SC
3,2d district .......................................,138861,113625,2010,SC
4,3d district .......................................,126235,66497,2010,SC
5,4th district .....................................,137586,62438,2010,SC
6,5th district .....................................,125834,102296,2010,SC
7,6th district .....................................,72661,125459,2010,SC
