,district,Republican,Democratic,year,state
0,1,109242,122365,2010,MN
1,2,181341,104809,2010,MN
2,3,161177,100240,2010,MN
3,4,80141,136746,2010,MN
4,5,55222,154833,2010,MN
5,6,159476,120846,2010,MN
6,7,90652,133096,2010,MN
7,8,133490,129091,2010,MN
