,district,Republican,Democratic,year,state
0,1,123006,26045,2010,TN
1,2,141796,25400,2010,TN
2,3,92032,45387,2010,TN
3,4,103969,70254,2010,TN
4,5,74204,99162,2010,TN
5,6,128517,56145,2010,TN
6,7,158916,54347,2010,TN
7,8,98759,64960,2010,TN
8,9,33879,99827,2010,TN
