,district,Republican,Democratic,year,state
0,1st district,112816,99233,2010,AZ
1,2nd district,173173,82891,2010,AZ
2,3rd district,108689,85610,2010,AZ
3,4th district,25300,61524,2010,AZ
4,5th district,110374,91749,2010,AZ
5,6th district,165649,72615,2010,AZ
6,7th district,70385,79935,2010,AZ
7,8th district,134124,138280,2010,AZ
