,district,Republican,Democratic,year,state
0,1,43649,135907,2010,MO
1,2,180481,77467,2010,MO
2,3,94757,99398,2010,MO
3,4,113489,101532,2010,MO
4,5,84578,102076,2010,MO
5,6,154103,67762,2010,MO
6,7,141010,67545,2010,MO
7,8,128499,56377,2010,MO
8,9,162724,0,2010,MO
